p3p--列表,#genre#
江西卫视频陆,p3p://108.181.32.169:54101/64260f920000727aee06542a02064fce
陕西卫视频陆,p3p://108.181.32.169:54101/642610c3000df7f5ee0aff0975881941
湖北卫视频陆,p3p://108.181.32.169:54101/64260ed500091677ee0374195121319b
重庆卫视频陆,p3p://108.181.32.169:54101/642610b9000df973ee0ad7f9779b6483
黑龙江视频陆,p3p://108.181.32.169:54101/64260fa7000c1330ee06a92c52724886
广东湾区频陆,p3p://108.181.32.169:54101/64261096000de036ee0a4f3b523d603e
广东珠江频陆,p3p://108.181.32.169:54101/642610780008a811ee09d8b561021b45
广东嘉佳频陆,p3p://108.181.32.169:54101/642610a2000b33ebee0a7d6c26c160b2
凤凰中文频陆,p3p://108.181.32.169:54101/6410229e000655dd98612e41401e3e7d
凤凰中文频陆,p3p://108.181.32.169:54101/641fd7b400080236d5bc536f5d82159c
凤凰资讯频陆,p3p://108.181.32.169:54101/67619e22000500d4af4b15a9277c7c29
pₒₚc电影频陆,p3p://108.181.32.169:54101/6425242d000d55adea6ed4fa37195f98
CM+电影频陆,p3p://108.181.32.169:54101/6410224e00097a01985ff68e53d22e70
无线翡翠频陆,p3p://108.181.32.169:54101/6533f5c20003762b2cfef1ac322c6404
无线明珠频陆,p3p://108.181.32.169:54101/6533f84d00047c732d08e0ea71ab4e92
无线星河国陆,p3p://108.181.32.169:54101/641021e900026b0f985e6a374d7d56bb
无线功夫频陆,p3p://108.181.32.169:54101/6411291b0004b01b9c62861646d00929
无线娱乐频陆,p3p://108.181.32.169:54101/64102219000c6f74985f28485a5a5799
无线经典频陆,p3p://108.181.32.169:54101/6410219e0000704b985d44bd2a501d47
无线粤片频陆,p3p://108.181.32.169:54101/643361c7000d4bee220f05703b541d41
无线华剧频陆,p3p://108.181.32.169:54101/643361e10003610a220f68773c0b4c78
黄金翡翠频陆,p3p://108.181.32.169:54101/6533f6f8000f2ebd2d03af9d53e46544
黄金华剧频陆,p3p://108.181.32.169:54101/64206c63000c3a90d801201c5fe2483a
now爆谷频陆,p3p://108.181.32.169:54101/641af90c000328bac2b691f11db2274a
now星影粤陆,p3p://108.181.32.169:54101/641af926000cc2b9c2b6f9f75c8d2b97
美亚电影粤陆,p3p://108.181.32.169:54101/642525310003ad3cea72ca2155c734c3
天映频道粤陆,p3p://108.181.32.169:54101/64124e0f00045619a0dadf2552b73bf8
天映频道频陆,p3p://108.181.32.169:54101/64124e2b000b454ba0db4e4b137c6137
纬来电影国陆,p3p://108.181.32.169:54101/64251eae0001bef7ea5959e100ae671e
東森电影国陆,p3p://108.181.32.169:54101/64253899000a078deabe99ff587050b0
龙翔电影国陆,p3p://108.181.32.169:54101/642d014b0009f96e092658cb4e1b23ff
好莱坞电影陆,p3p://108.181.32.169:54101/6425244f0001184fea6f56a70aca63d2
Discovery_陆,p3p://108.181.32.169:54101/641383f300048101a59561c464b07293
KixHD频道陆,p3p://108.181.32.169:54101/6413854d000785b1a59aaa2924fa1aa7
中天新闻频陆,p3p://108.181.32.169:54101/675ec8cf000def51a43a021f0e7931f9
东森新闻频陆,p3p://108.181.32.169:54101/64251f9700046520ea5ce8b85b6c11da
tvbs新闻频陆,p3p://108.181.32.169:54101/64252188000673fcea647eb0397d464d
寰宇新闻频陆,p3p://108.181.32.169:54101/64295eb60008744efaf37ae07d17520b
非凡新闻频陆,p3p://108.181.32.169:54101/64258e8600060f7eec0e3ebd6c49020e
三立新闻频陆,p3p://108.181.32.169:54101/64251e23000bcd04ea573d7c0f0a002e
年代新闻频陆,p3p://108.181.32.169:54101/645b2569000acf2fbd624de55e212fb2
闽南壹新闻陆,p3p://108.181.32.169:54101/642521bd0005dfe9ea654d921969472d
民视新闻频陆,p3p://108.181.32.169:54101/64c859e10007934267f487ac0fa618e0
中视新闻频陆,p3p://108.181.32.169:54101/642d016e000643ab0926e0907da252ca
公视闽南频陆,p3p://108.181.32.169:54101/64251df1000b5a9cea567a0e255d4664
台视闽南频陆,p3p://108.181.32.169:54101/64251e0800060844ea56d28a6fad038f
华视综合频陆,p3p://108.181.32.169:54101/642520cd000995d4ea61a5050eb67a8d
中视青采频陆,p3p://108.181.32.169:54101/642525590004d7f3ea7366ae4aeb3d9d
中天娱乐频陆,p3p://108.181.32.169:54101/642525670005ee2bea739da573c134b4
中天亚洲频陆,p3p://108.181.32.169:54101/64254f7e000dfed1eb1809855c5735ce
中天综合频陆,p3p://108.181.32.169:54101/642d0188000d7c49092747f97ffc7c72
东森综合频陆,p3p://108.181.32.169:54101/64253f6e0002d287ead9482831323a6d
东森戏剧频陆,p3p://108.181.32.169:54101/64251f7a000bc46eea5c79536d5e2a0e
东森电影频陆,p3p://108.181.32.169:54101/64253899000a078deabe99ff587050b0
东森洋片频陆,p3p://108.181.32.169:54101/64251f8a0008854aea5cb6fe64e47b4e
民视闽南频陆,p3p://108.181.32.169:54101/64251dd200003544ea55fe1c5eb00e42
民视闽南备陆,p3p://108.181.32.169:54101/6442f24f00097e845edb5e492842265c
民视第一频陆,p3p://108.181.32.169:54101/642520e900023cc4ea621083588c7092
tvbs精彩频陆,p3p://108.181.32.169:54101/642521570001b275ea63be1073931dd1
tvbs欢乐频陆,p3p://108.181.32.169:54101/642521950001d9f2ea64b04b059b66dd
tvbs_HD频陆,p3p://108.181.32.169:54101/675ecef8000222e1a4520f4a66371646
三立台湾频陆,p3p://108.181.32.169:54101/64251e5e0003388bea5821c268061bfb
三立戏剧频陆,p3p://108.181.32.169:54101/64251e39000ed5bbea579433569b6381
三立综合频陆,p3p://108.181.32.169:54101/64251e49000e34e7ea57d28a25014df2
纬来电影频陆,p3p://108.181.32.169:54101/64251eae0001bef7ea5959e100ae671e
纬来体育频陆,p3p://108.181.32.169:54101/64251ee9000a4e00ea5a428b26ea4156
纬来日本频陆,p3p://108.181.32.169:54101/64251ef6000315a6ea5a737a6efc404a
纬来精彩频陆,p3p://108.181.32.169:54101/64251f020003818bea5aa2750fef31c6
纬来综合频陆,p3p://108.181.32.169:54101/64251f0d000c0b8fea5acf9d13b83665
八大娱乐频陆,p3p://108.181.32.169:54101/642520730002bc15ea6043b344e032a5
八大第一频陆,p3p://108.181.32.169:54101/6425207f00050f7aea60732c51b94fad
八大综合频陆,p3p://108.181.32.169:54101/642520b0000c3261ea61346800d61673
八大戏剧频陆,p3p://108.181.32.169:54101/642520c1000929efea61760938521b57
八大精彩频陆,p3p://108.181.32.169:54101/65435f63000ba94069331ccd6399041b
大爱第一频陆,p3p://108.181.32.169:54101/6425225a0002859cea67b1ff6aaf6db6
靖洋戏剧频陆,p3p://108.181.32.169:54101/642521b000094942ea651baa457674cb
Eleven一频陆,p3p://108.181.32.169:54101/6425227b000100c6ea6832842d41783a
ELTA--综合陆,p3p://108.181.32.169:54101/642522cd000292e6ea69733b04032ded
国家地理频陆,p3p://108.181.32.169:54101/642523f2000e0f35ea6deeb16ff816c9
EYE-旅游频陆,p3p://108.181.32.169:54101/642524030003a5b2ea6e2e6f6efc45a1
探索科学频陆,p3p://108.181.32.169:54101/6425241100084dfbea6e6650539d779f
亚洲旅游频陆,p3p://108.181.32.169:54101/642520f70001a86dea62470d303d34d3
动物星球频陆,p3p://108.181.32.169:54101/6425241f00027d03ea6e9b836b853b0b
星卫娱乐频陆,p3p://108.181.32.169:54101/6425242d000d55adea6ed4fa37195f98
爱尔达影剧陆,p3p://108.181.32.169:54101/6425243c00046a2eea6f0d4964f8022d
金光布袋戏陆,p3p://108.181.32.169:54101/6425246600099458ea6fb2ab4398320b
Catc电影频陆,p3p://108.181.32.169:54101/64252479000b7f1aea6ffd6177e3015c
卫视中文频陆,p3p://108.181.32.169:54101/64252507000eefc4ea7228f32f390502
卫视电影频陆,p3p://108.181.32.169:54101/642525150008a4ecea725e071929091e
星卫电影频陆,p3p://108.181.32.169:54101/642521030009ef43ea62780c438e2a38
美亚电影频陆,p3p://108.181.32.169:54101/642525310003ad3cea72ca2155c734c3
卫视hd电影陆,p3p://108.181.32.169:54101/6425253c0007ee60ea72f6307ae25fdd
JET_tv频道陆,p3p://108.181.32.169:54101/6425254d000d3abeea7339f47b5d4bf5
Smithsonia陆,p3p://108.181.32.169:54101/64252459000cfdb2ea6f80c37a14067d
HBO闽南频陆,p3p://108.181.32.169:54101/64137f0b0006a17fa58238155813216c
HBO家庭频陆,p3p://108.181.32.169:54101/64137f3c000d4a86a582f93235111bc5
HBO强档频陆,p3p://108.181.32.169:54101/64137f700008f329a583c3344ddf5dfc
thrill电影频陆,p3p://108.181.32.169:54101/644a0879000272f67a89b6687af342ae
靖天育乐频陆,p3p://108.181.32.169:54101/642d013d0001084409261fd04c0c3c04
龙翔电影频陆,p3p://108.181.32.169:54101/642d014b0009f96e092658cb4e1b23ff
BabyFirs频陆,p3p://108.181.32.169:54101/642d015f000070f00926a47a6a2e7d52
et综合频道陆,p3p://108.181.32.169:54101/642d017d0000a964092719b87e2e3acd
凤凰资讯频陆,p3p://108.181.32.169:54101/641022be000e5cc69861ad4f5a025336
凤凰香港频陆,p3p://108.181.32.169:54101/641022da0005d3069862188000a64525
France24频陆,p3p://108.181.32.169:54101/6413816700069158a58b6f7a03cd341c
CCTV4频道陆,p3p://108.181.32.169:54101/64260ca5000de050edfae9d444575946
电影一台,p3p://108.181.32.169:54101/6410224e00097a01985ff68e53d22e70
CCM 天映经典,p3p://108.181.32.169:54101/64124d990007b0aaa0d9131033d9354a
CCM 天映经典 CN中英字幕,p3p://108.181.32.169:54101/64124dd500082194a0d9fd8d736a3dff
Celestial MY 天映,p3p://108.181.32.169:54101/64124e2b000b454ba0db4e4b137c6137
Celestial MY 天映2,p3p://108.181.32.169:54101/64124e0f00045619a0dadf2552b73bf8
CatchPlay电影台,p3p://108.181.32.169:54101/64252479000b7f1aea6ffd6177e3015c
好莱坞电影台,p3p://108.181.32.169:54101/6425244f0001184fea6f56a70aca63d2
卫视电影台scm,p3p://108.181.32.169:54101/642525150008a4ecea725e071929091e
星卫HD电影,p3p://108.181.32.169:54101/642521030009ef43ea62780c438e2a38
卫视HD电影,p3p://108.181.32.169:54101/6425253c0007ee60ea72f6307ae25fdd
东森电影台,p3p://108.181.32.169:54101/64253899000a078deabe99ff587050b0
纬来电影,p3p://108.181.32.169:54101/64251eae0001bef7ea5959e100ae671e
龙祥电影台,p3p://108.181.32.169:54101/642d014b0009f96e092658cb4e1b23ff
CCTV6,p3p://108.181.32.169:54101/64260cc800087ffdedfb712c61a06569
Astro AOD 354,p3p://108.181.32.169:54101/6427ba6b0002c078f489b4757d803340
TVB星河国语,p3p://108.181.32.169:54101/64124d490002f20da0d7d95b4dbe6256
Celestial MY 天映,p3p://108.181.32.169:54101/64124df1000c3585a0da6bf812014c1a
TVB_E-NEWS,p3p://108.181.32.169:54101/64124d81000ccc51a0d8b69f1a1a762b
Celestial cn 天映2,p3p://108.181.32.169:54101/64124e2b000b454ba0db4e4b137c6137
卫星剧场jp陆,p3p://108.181.32.169:54101/641a18b90000c5aabf4a4d231be33905
松视壹限频陆,p3p://108.181.32.169:54101/650b87f1000d765a8f12ea107fd81201
松视贰限频陆,p3p://108.181.32.169:54101/650b8a51000ac6568f1c30530c503d72
松视叁限频陆,p3p://108.181.32.169:54101/650b8a0e000007df8f1b27da75d42f65
中字壹限频陆,p3p://108.181.32.169:54101/64fa7d1c000a26144c810f6c2a1b709b
中字贰限频陆,p3p://108.181.32.169:54101/64fa7d0d000bf15a4c80d54a58b706d0
中字叁限频陆,p3p://108.181.32.169:54101/64fa7cf60009a5b24c807adb63ff467e
中字肆限频陆,p3p://108.181.32.169:54101/64fa7ce500041c634c80370861c068f7
中字伍限频陆,p3p://108.181.32.169:54101/64fa7cd50001e1f74c7ff7f616ec1383
中字陆限频陆,p3p://108.181.32.169:54101/64fa7cac00044f8f4c7f586d620130af
中字柒限频陆,p3p://108.181.32.169:54101/64fa7c9c0008bf634c7f1b1060456297
中字捌限频陆,p3p://108.181.32.169:54101/64fa7c83000e5b284c7ebad75f8e3361
中字玖限频陆,p3p://108.181.32.169:54101/64fa7c7500015e0e4c7e80d46b241ea2
中字拾限频陆,p3p://108.181.32.169:54101/64fa7c5c000d2a334c7e22315fb62b36
中字拾壹频陆,p3p://108.181.32.169:54101/64fa7bf40004098c4c7c899b60d519f9
会员壹限频陆,p3p://108.181.32.169:54101/642316230005e319e267fc00076e6e77
会员贰限频陆,p3p://108.181.32.169:54101/642319860005a2bce275369f096d68b2
会员叁限频陆,p3p://108.181.32.169:54101/64231a180004ee7de27770c263dc6c5c
会员肆限频陆,p3p://108.181.32.169:54101/64231a2700022f77e277aaa6349f3b6c
会员伍限频陆,p3p://108.181.32.169:54101/64231a33000d8e7de277dc6f4f9a18e6
热舞极限频陆,p3p://108.181.32.169:54101/643f467d0007d02950843193582d157f
探花壹限频陆,p3p://108.181.32.169:54101/643f4a720003177e5093a56b35103bec
探花贰限频陆,p3p://108.181.32.169:54101/643f4689000560ce50845fd32f1e3642
三级极限频陆,p3p://108.181.32.169:54101/643f46e90005e4b65085d6f66e8430d7
良家极限频陆,p3p://108.181.32.169:54101/643f46fa00003df4508617eb220234bd
人妻极限频陆,p3p://108.181.32.169:54101/64487f210008fc287489385479a92810
张总极限频陆,p3p://108.181.32.169:54101/64487f750009511b748a808a27984fac
轮播壹限频陆,p3p://108.181.32.169:54101/64487f5d000b5491748a234e7ced2478
轮播贰限频陆,p3p://108.181.32.169:54101/64487f69000cb436748a5288486852e5
韩国演艺频陆,p3p://108.181.32.169:54101/64487f44000009c47489bec26ba13f81
沈先生壹频陆,p3p://108.181.32.169:54101/643f461b00047d7c5082b1e9785e07d1
沈先生贰频陆,p3p://108.181.32.169:54101/643f4606000b30f85082619878c7475e
直播壹限频陆,p3p://108.181.32.169:54101/643f4642000eba1250834ce0704e60b0
直播贰限频陆,p3p://108.181.32.169:54101/643f462a0001fb665082ebdc599b5e74
直播叁限频陆,p3p://108.181.32.169:54101/64487f5100084a5c7489f3a771c078c4
小宝神探频陆,p3p://108.181.32.169:54101/643f4651000e995c5083877078e11741
太子神探频陆,p3p://108.181.32.169:54101/643f46600000aa455083be767ecc30be
偷拍壹限频陆,p3p://108.181.32.169:54101/643c456e0008fdf744c80f46561f2529
偷拍贰限频陆,p3p://108.181.32.169:54101/643f466e000109ae5083f53f78515fe0
偷拍叁限频陆,p3p://108.181.32.169:54101/64487f82000255b1748ab189692e4233
剧情壹限频陆,p3p://108.181.32.169:54101/643b3804000d529540abe3af535f7949
剧情贰限频陆,p3p://108.181.32.169:54101/643c452200057d4e44c6e5886a9d1abe
换妻壹限频陆,p3p://108.181.32.169:54101/643c45330007748c44c728716e235ede
传媒贰限频陆,p3p://108.181.32.169:54101/643c4554000bc4ba44c7aa6c52af6d13
传媒叁限频陆,p3p://108.181.32.169:54101/643c454300039d1b44c765ee65b91ba8
传媒肆限频陆,p3p://108.181.32.169:54101/643f470a000467b05086577a5049739d
麻豆极限频陆,p3p://108.181.32.169:54101/643ad82100025d323f355232416654c2
短剧壹限频陆,p3p://108.181.32.169:54101/64231f800006c5b7e28c8f791462113b
短剧贰限频陆,p3p://108.181.32.169:54101/64231f8a0006c438e28cb688051704fb
国外壹限频陆,p3p://108.181.32.169:54101/64231a4200010d06e27813d404c6258d
国外贰限频陆,p3p://108.181.32.169:54101/64231a510001a320e2784e927fb73712
国外叁限频陆,p3p://108.181.32.169:54101/64231a5e0004e407e27882302c8b31e1
国外肆限频陆,p3p://108.181.32.169:54101/64231a730008e6bde278d53e721a5725
国外伍限频陆,p3p://108.181.32.169:54101/64231a7f0003d911e27902d3411850e7
国外陆限频陆,p3p://108.181.32.169:54101/64231a8b0002615ee2793152059606bd
国外柒限频陆,p3p://108.181.32.169:54101/64231b27000855e1e27b94397bf80b92
国外捌限频陆,p3p://108.181.32.169:54101/64231b31000b2fa3e27bbc0401b41502
国外玖限频陆,p3p://108.181.32.169:54101/64231b3d000ccc38e27beb4e0c6761a2
国外拾限频陆,p3p://108.181.32.169:54101/64231b4a000de8afe27c1e5f78545a2d
国外拾壹频陆,p3p://108.181.32.169:54101/64231b6a00041098e27c98db39615346
国外拾贰频陆,p3p://108.181.32.169:54101/64231b78000add51e27cd14927255d3f
国外拾叁频陆,p3p://108.181.32.169:54101/64231b86000a48fae27d07d329db33e4
国外拾肆频陆,p3p://108.181.32.169:54101/64231b92000a3affe27d36af63d61e29
国外拾伍频陆,p3p://108.181.32.169:54101/64231bb0000c5af4e27dac6b1ac34aa7
国外拾陆频陆,p3p://108.181.32.169:54101/64231e29000b5e44e28754d970cf79e5
国外拾柒频陆,p3p://108.181.32.169:54101/64231e3500087509e28782fb78337450
国外拾捌频陆,p3p://108.181.32.169:54101/64231e43000005c0e287b78262934d05
国外拾玖频陆,p3p://108.181.32.169:54101/64231e4e000d5285e287e5e27ae210aa
国外贰拾频陆,p3p://108.181.32.169:54101/64231e5c000707ade2881af5064017b3
国外贰壹频陆,p3p://108.181.32.169:54101/64231e6700099e41e28846973df74159
国外贰贰频陆,p3p://108.181.32.169:54101/64231e73000047b5e288731314ab23d5
国外贰叁频陆,p3p://108.181.32.169:54101/64231e860007ac07e288bf3061103b0d
国外贰肆频陆,p3p://108.181.32.169:54101/64231e91000587aae288e99916e46fdd
国外贰伍频陆,p3p://108.181.32.169:54101/64231e9c0007a45ee289151c0c8f60ca
国外贰陆频陆,p3p://108.181.32.169:54101/64231eaa000cc687e2894d1c6445706e
香蕉极限频陆,p3p://108.181.32.169:54101/650b8ae60005f36b8f1e751f68bd1c14
粉紅极限频陆,p3p://108.181.32.169:54101/641a800b00087defc0dde7672f891ee4
惊艳极限频陆,p3p://108.181.32.169:54101/650b8b37000c4e8a8f1fb328756e4077
完美极限频陆,p3p://108.181.32.169:54101/650b8a9900047f038f1d47f730bd5b7c
彩虹奇限频陆,p3p://108.181.32.169:54101/650b896a000407bf8f18a840011e789a
彩虹依限频陆,p3p://108.181.32.169:54101/641a802000061354c0de38d050782a5d
彩虹电影频陆,p3p://108.181.32.169:54101/650b89c6000280318f1a0f3c30b74958
极限电影频陆,p3p://108.181.32.169:54101/650b8b700004037d8f208fb144ea7e3f
高兴极限频陆,p3p://108.181.32.169:54101/650b8915000b1a1b8f175e0765017f8a
